"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","должен возвращать null, если продукт не найден по ID","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","getProductById","",""
"","164","должен показывать ошибки валидации при отправке пустой формы регистрации","UI Тесты - Аутентификация пользователя (с POM)","Wed Dec 03 08:32:50 UTC 2025","passed","Wed Dec 03 08:32:50 UTC 2025","","Негативные сценарии - Регистрация","",""
"","114","должна содержать шапку с навигацией","","Wed Dec 03 08:32:59 UTC 2025","passed","Wed Dec 03 08:32:59 UTC 2025","","UI Тесты - Страница Каталога (с POM)","",""
"","1571","должен показывать ошибку сервера при попытке регистрации с существующим email","UI Тесты - Аутентификация пользователя (с POM)","Wed Dec 03 08:32:54 UTC 2025","passed","Wed Dec 03 08:32:56 UTC 2025","","Негативные сценарии - Регистрация","",""
"","9","должен отображать ошибку 500 при других ошибках сохранения в БД","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","createProduct","",""
"","107","должна возвращать true для правильного пароля и хеша","Password Utilities","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","comparePasswords","",""
"","115","должна отображать хотя бы один товар","","Wed Dec 03 08:32:59 UTC 2025","passed","Wed Dec 03 08:32:59 UTC 2025","","UI Тесты - Страница Каталога (с POM)","",""
"","132","должен возвращать ошибку 409 при регистрации с существующим email","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","1","должен возвращать null, если пользователь не найден по имени","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findUserByUsername","",""
"","544","должна добавлять текст в область предпросмотра","UI Тесты - Страница Конструктора (с POM)","Wed Dec 03 08:33:04 UTC 2025","passed","Wed Dec 03 08:33:04 UTC 2025","","Общие проверки (без авторизации)","",""
"","34","должен возвращать ошибку 401 при несуществующем имени пользователя","API Аутентификации","Wed Dec 03 08:32:41 UTC 2025","passed","Wed Dec 03 08:32:41 UTC 2025","","POST /auth/login","",""
"","69","должен возвращать 404, если продукт с таким ID не найден (но ID валиден)","API Продуктов - /products","Wed Dec 03 08:32:43 UTC 2025","passed","Wed Dec 03 08:32:43 UTC 2025","","GET /products/:id","",""
"","127","должен получать список продуктов (массив), содержащий созданный продукт","API Продуктов - /products","Wed Dec 03 08:32:43 UTC 2025","passed","Wed Dec 03 08:32:43 UTC 2025","","GET /products","",""
"","1","должен выбрасывать ошибку 500 при сбое запроса find/sort к БД","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","getAllProducts","",""
"","32","должен возвращать ошибку 400, если отсутствует поле confirmPassword","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","67","должна отображать секцию ""Как связаться"" с контактной информацией","UI Тесты - Просмотр информационных страниц (с POM для Header)","Wed Dec 03 08:33:12 UTC 2025","passed","Wed Dec 03 08:33:12 UTC 2025","","Страница ""О нас""","",""
"","3554","должен успешно регистрировать нового пользователя, выполнять вход и выход","","Wed Dec 03 08:32:45 UTC 2025","passed","Wed Dec 03 08:32:49 UTC 2025","","UI Тесты - Аутентификация пользователя (с POM)","",""
"","30","должен возвращать ошибку 400, если отсутствует поле password","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","767","должна корректно выполнять поиск: не находить несуществующий товар","","Wed Dec 03 08:33:00 UTC 2025","passed","Wed Dec 03 08:33:00 UTC 2025","","UI Тесты - Страница Каталога (с POM)","",""
"","1","должен возвращать массив продуктов, отсортированных по дате создания(убывание)","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","getAllProducts","",""
"","2","должна возвращать false, если хешированный пароль не предоставлен","Password Utilities","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","comparePasswords","",""
"","32","должен возвращать ошибку 400, если отсутствует поле email","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","1007","должен показывать ошибку при попытке логина с неверным паролем","","Wed Dec 03 08:32:49 UTC 2025","passed","Wed Dec 03 08:32:50 UTC 2025","","UI Тесты - Аутентификация пользователя (с POM)","",""
"","9","должен отображать ошибку 400 при ошибке валидации Mongoose","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","createUser","",""
"","143","должен возвращать ошибку 409 при регистрации с существующим именем пользователя","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","89","должна отображать главный баннер с заголовком, текстом и кнопкой","","Wed Dec 03 08:33:10 UTC 2025","passed","Wed Dec 03 08:33:10 UTC 2025","","UI Тесты - Главная страница","",""
"","1","должен отображать ошибку 409, если пользователь с таким именем уже существует","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","createUser","",""
"","1299","должен показывать ошибку при несовпадающих паролях (оба не пустые)","UI Тесты - Аутентификация пользователя (с POM)","Wed Dec 03 08:32:51 UTC 2025","passed","Wed Dec 03 08:32:53 UTC 2025","","Негативные сценарии - Регистрация","",""
"","2","должен отображать ошибку 409, если пользователь с таким email уже существует","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","createUser","",""
"","2","должен возвращать пользователя, если он найден по имени пользователя","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findExistingUser","",""
"","121","должна возвращать false для неверного пароля и хеша","Password Utilities","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","comparePasswords","",""
"","124","должен возвращать ошибку 401 при неверном пароле","API Аутентификации","Wed Dec 03 08:32:41 UTC 2025","passed","Wed Dec 03 08:32:41 UTC 2025","","POST /auth/login","",""
"","2","должна возвращать false, если открытый пароль не предоставлен","Password Utilities","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","comparePasswords","",""
"","78","должна отображать секцию ""Наша история""","UI Тесты - Просмотр информационных страниц (с POM для Header)","Wed Dec 03 08:33:12 UTC 2025","passed","Wed Dec 03 08:33:12 UTC 2025","","Страница ""О нас""","",""
"","1103","должен показывать ошибку, если поле ""Подтвердите пароль"" пустое, а поле ""Пароль"" заполнено","UI Тесты - Аутентификация пользователя (с POM)","Wed Dec 03 08:32:50 UTC 2025","passed","Wed Dec 03 08:32:51 UTC 2025","","Негативные сценарии - Регистрация","",""
"","3","должен возвращать null, если имя пользователя и email неверны/пусты","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findExistingUser","",""
"","864","должна отображать все товары после очистки поля поиска","","Wed Dec 03 08:33:00 UTC 2025","passed","Wed Dec 03 08:33:01 UTC 2025","","UI Тесты - Страница Каталога (с POM)","",""
"","62","должен возвращать 400, если ID имеет неверный формат","API Продуктов - /products","Wed Dec 03 08:32:43 UTC 2025","passed","Wed Dec 03 08:32:43 UTC 2025","","GET /products/:id","",""
"","142","должен показывать ошибки валидации при отправке пустой формы логина","UI Тесты - Аутентификация пользователя (с POM)","Wed Dec 03 08:32:57 UTC 2025","passed","Wed Dec 03 08:32:57 UTC 2025","","Негативные сценарии - Логин","",""
"","133","должна успешно загружаться и иметь правильный заголовок страницы (title)","","Wed Dec 03 08:33:09 UTC 2025","passed","Wed Dec 03 08:33:10 UTC 2025","","UI Тесты - Главная страница","",""
"","373","должна отображать область предпросмотра с изображением","UI Тесты - Страница Конструктора (с POM)","Wed Dec 03 08:33:03 UTC 2025","passed","Wed Dec 03 08:33:03 UTC 2025","","Общие проверки (без авторизации)","",""
"","4","должен успешно создавать и сохранять нового пользователя","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","createUser","",""
"","1","должен отображать ошибку 400, если отсутствует ID пользователя","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","createProduct","",""
"","15","должен отображать ошибку 500 при других ошибках сохранения в БД","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","createUser","",""
"","299","должна изменять цвет фона изображения в предпросмотре","UI Тесты - Страница Конструктора (с POM)","Wed Dec 03 08:33:03 UTC 2025","passed","Wed Dec 03 08:33:04 UTC 2025","","Общие проверки (без авторизации)","",""
"","111","должен успешно аутентифицировать зарегистрированного пользователя","API Аутентификации","Wed Dec 03 08:32:41 UTC 2025","passed","Wed Dec 03 08:32:41 UTC 2025","","POST /auth/login","",""
"","84","должна содержать навигационное меню и ссылки в шапке","UI Тесты - Просмотр информационных страниц (с POM для Header)","Wed Dec 03 08:33:12 UTC 2025","passed","Wed Dec 03 08:33:12 UTC 2025","","Страница ""О нас""","",""
"","2","должен возвращать null, если ID продукта имеет невалидный формат","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","getProductById","",""
"","2","должен возвращать пользователя, если он найден по email","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findExistingUser","",""
"","31","должен возвращать ошибку 400, если пароли не совпадают","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","28","должен создавать и сохранять продукт с валидными данными","ProductService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","createProduct","",""
"","112","должна отображать секцию ""Популярные товары"" с заголовком и товарами","","Wed Dec 03 08:33:10 UTC 2025","passed","Wed Dec 03 08:33:10 UTC 2025","","UI Тесты - Главная страница","",""
"","1","должен возвращать null, если имя пользователя пустое или не строка","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findUserByUsername","",""
"","3453","должна ""сохранять"" дизайн (проверка вызова API) для авторизованного пользователя","UI Тесты - Страница Конструктора (с POM)","Wed Dec 03 08:33:04 UTC 2025","passed","Wed Dec 03 08:33:08 UTC 2025","","Действия авторизованного пользователя","",""
"","2","должен возвращать продукт, если он найден по ID","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","getProductById","",""
"","2","должен выбрасывать ошибку 500 при сбое запроса findById к БД","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","getProductById","",""
"","2","должен отображать ошибку, если запрос к базе данных завершился неудачно","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findUserByUsername","",""
"","27","должен возвращать пользователя, если он найден по имени","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findUserByUsername","",""
"","1620","должен показывать ошибку сервера при попытке регистрации с существующим именем пользователя","UI Тесты - Аутентификация пользователя (с POM)","Wed Dec 03 08:32:53 UTC 2025","passed","Wed Dec 03 08:32:54 UTC 2025","","Негативные сценарии - Регистрация","",""
