"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","231","должен успешно выполнять выход для аутентифицированного пользователя","API Аутентификации","Wed Dec 03 08:32:41 UTC 2025","passed","Wed Dec 03 08:32:41 UTC 2025","","GET /auth/logout","",""
"","789","должен показывать ошибку при попытке входа с несуществующим именем пользователя","UI Тесты - Аутентификация пользователя (с POM)","Wed Dec 03 08:32:56 UTC 2025","passed","Wed Dec 03 08:32:57 UTC 2025","","Негативные сценарии - Логин","",""
"","3","должен использовать undefined для designImage, если он не предоставлен и сохранен успешно","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","createProduct","",""
"","234","повторный запрос на выход должен также вернуть успех (или специфическое сообщение)","API Аутентификации","Wed Dec 03 08:32:41 UTC 2025","passed","Wed Dec 03 08:32:42 UTC 2025","","GET /auth/logout","",""
"","2","должен возвращать null, если пользователь не найден","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findExistingUser","",""
"","141","должна отображать шапку с логотипом, навигацией и иконками действий","","Wed Dec 03 08:33:10 UTC 2025","passed","Wed Dec 03 08:33:10 UTC 2025","","UI Тесты - Главная страница","",""
"","3","должен отображать ошибку 400, если отсутствует цвет","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","createProduct","",""
"","648","должна корректно выполнять поиск существующего товара","","Wed Dec 03 08:32:59 UTC 2025","passed","Wed Dec 03 08:33:00 UTC 2025","","UI Тесты - Страница Каталога (с POM)","",""
"","157","должен успешно регистрировать нового пользователя и возвращать его данные (без пароля)","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","30","должен возвращать ошибку 400, если отсутствует поле password при логине","API Аутентификации","Wed Dec 03 08:32:41 UTC 2025","passed","Wed Dec 03 08:32:41 UTC 2025","","POST /auth/login","",""
"","2","должен отображать ошибку 400 при ошибке валидации Mongoose","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","createProduct","",""
"","31","должен возвращать ошибку 400, если отсутствует поле username","API Аутентификации","Wed Dec 03 08:32:40 UTC 2025","passed","Wed Dec 03 08:32:40 UTC 2025","","POST /auth/register","",""
"","86","должна отображать подвал (footer) с текстом авторских прав","","Wed Dec 03 08:33:10 UTC 2025","passed","Wed Dec 03 08:33:10 UTC 2025","","UI Тесты - Главная страница","",""
"","30","должен возвращать ошибку 400, если отсутствует поле username при логине","API Аутентификации","Wed Dec 03 08:32:41 UTC 2025","passed","Wed Dec 03 08:32:41 UTC 2025","","POST /auth/login","",""
"","1","должен возвращать пустой массив, если продукты не найдены","ProductService","Wed Dec 03 08:32:21 UTC 2025","passed","Wed Dec 03 08:32:21 UTC 2025","","getAllProducts","",""
"","2","должен отображать ошибку при сбое запроса к БД","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findExistingUser","",""
"","2","должен возвращать пользователя, если он найден по имени пользователя или email","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","findExistingUser","",""
"","69","должен получать конкретный продукт по ID","API Продуктов - /products","Wed Dec 03 08:32:43 UTC 2025","passed","Wed Dec 03 08:32:43 UTC 2025","","GET /products/:id","",""
"","2","должен отображать ошибку 400, если отсутствуют обязательные поля","UserService","Wed Dec 03 08:32:20 UTC 2025","passed","Wed Dec 03 08:32:20 UTC 2025","","createUser","",""
"","134","должна успешно загружаться и содержать правильный заголовок","UI Тесты - Просмотр информационных страниц (с POM для Header)","Wed Dec 03 08:33:12 UTC 2025","passed","Wed Dec 03 08:33:12 UTC 2025","","Страница ""О нас""","",""
